LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,Concentration,ADC
6,2.259042297344295,2.2261605057380915,2.0977792359915615,2.716845203110186,0.0182713513933399,41,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.0934,
7,3.010444179064619,2.973076207955379,2.825114416755338,3.6442417019738538,0.032537654528626,42,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.1353,
8,4.114663244804401,4.101033929037285,3.825732456886954,4.474063559178809,0.0258976572077168,43,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.193,
9,6.0667439947240736,6.0736799134367505,5.859144855948682,6.258709065078899,0.0080239723447487,42,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.2768,
10,9.23612591625179,9.283123830379004,8.730188634327433,9.677559765819566,0.0528003697065012,38,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.4276,
11,12.197122665515368,12.212861381815967,10.634327368992606,13.726992477742607,0.3306731321060166,38,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.5555,
12,17.597792360177237,17.764495607904923,13.921511921287255,21.016885275255472,3.0013666453790475,43,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.7902,
13,23.343499351816767,23.646858389174607,17.775056572703953,28.188305351594785,5.465725796775154,38,230224,P0004,full,R1,T2mimics_fix,1,CGv1,1.1274,
14,33.17458115806013,34.568174388322134,18.54534546368501,42.93650347565395,33.70847322217108,40,230224,P0004,full,R1,T2mimics_fix,1,CGv1,1.5996,
1,0.4594919440569797,0.4215646382958437,0.3395342549366111,0.7510783657833928,0.0116118721068722,42,230224,P0004,full,R1,ADC_fix,1,CGv1,0.0,2067.0
2,3.473997444387122,3.3908813004712246,2.9706546059559824,4.2758432620464095,0.0956378648467636,43,230224,P0004,full,R1,ADC_fix,1,CGv1,50.0,315.0
3,0.4550536586543307,0.4261703028357614,0.3270861087302344,0.8393205798136218,0.0135333307284581,44,230224,P0004,full,R1,ADC_fix,1,CGv1,0.0,2067.0
4,0.4488694167920106,0.4197484270487039,0.3376353905113461,0.7945519735532255,0.0106292393456606,40,230224,P0004,full,R1,ADC_fix,1,CGv1,0.0,2067.0
