LabelValue,Mean,Min,Max,Variance,Subject,Session,Run,Seg,SoftwareVersions
7.0,1.2145073746498374,423.0,2461.0,143852.5805967055,P0003,20231004161510,1,T1,8.6.0
8.0,0.8647838082608221,9.0,1679.0,111948.50427861628,P0003,20231004161510,1,T1,8.6.0
9.0,0.6655130605392587,82.0,1312.0,40382.87751243785,P0003,20231004161510,1,T1,8.6.0
10.0,0.33906856114794304,99.0,812.0,14741.353606789236,P0003,20231004161510,1,T1,8.6.0
11.0,0.18631159821000576,39.0,643.0,17271.01517928999,P0003,20231004161510,1,T1,8.6.0
12.0,0.13236272240428995,48.0,415.0,7635.735922330095,P0003,20231004161510,1,T1,8.6.0
13.0,0.09627451152425456,9.0,373.0,5399.656691491764,P0003,20231004161510,1,T1,8.6.0
14.0,0.12234492982735928,5.0,634.0,14650.658839650689,P0003,20231004161510,1,T1,8.6.0
1.0,2.1011354690698716,1801.0,2958.0,72022.7010159653,P0003,20231004161510,1,T2,8.6.0
2.0,2.142313351110389,2135.0,3149.0,48016.34285714301,P0003,20231004161510,1,T2,8.6.0
3.0,1.9219894505454915,1782.0,2653.0,37805.28112215112,P0003,20231004161510,1,T2,8.6.0
4.0,1.8014177321371445,1752.0,2584.0,38420.63784461149,P0003,20231004161510,1,T2,8.6.0
5.0,1.7192567395141074,1663.0,2578.0,60623.340592861176,P0003,20231004161510,1,T2,8.6.0
6.0,1.541398453964265,1541.0,2240.0,42426.23770491779,P0003,20231004161510,1,T2,8.6.0
7.0,1.1702512965826404,1253.0,1726.0,10480.847435219366,P0003,20231004161510,1,T2,8.6.0
8.0,0.731063554701574,591.0,1155.0,8614.20572764465,P0003,20231004161510,1,T2,8.6.0
9.0,0.32108046868676043,269.0,644.0,6090.902356902345,P0003,20231004161510,1,T2,8.6.0
10.0,0.11902382865030513,48.0,333.0,5043.7895967270615,P0003,20231004161510,1,T2,8.6.0
11.0,0.08735014123453844,41.0,197.0,1534.801843317973,P0003,20231004161510,1,T2,8.6.0
12.0,0.1171397604597306,51.0,304.0,4172.756503327284,P0003,20231004161510,1,T2,8.6.0
13.0,0.10777330465946186,37.0,368.0,6464.614489687996,P0003,20231004161510,1,T2,8.6.0
14.0,0.11880644868372063,36.0,353.0,8277.075961538463,P0003,20231004161510,1,T2,8.6.0
1.0,1.738982790707607,249.0,3533.0,524796.5050982705,P0003,20231004161510,2,T1,8.6.0
2.0,1.888468521592418,99.0,3616.0,394778.3051260792,P0003,20231004161510,2,T1,8.6.0
3.0,1.9358269805086223,1260.0,3685.0,214579.421356894,P0003,20231004161510,2,T1,8.6.0
4.0,1.6494030450380048,641.0,3291.0,368004.6720135073,P0003,20231004161510,2,T1,8.6.0
5.0,1.6232417819650735,875.0,3608.0,306891.4808703965,P0003,20231004161510,2,T1,8.6.0
6.0,1.533053666615217,532.0,2986.0,223400.40252764625,P0003,20231004161510,2,T1,8.6.0
7.0,1.2181077710393424,214.0,2360.0,153516.08101108487,P0003,20231004161510,2,T1,8.6.0
8.0,0.8604000717188539,1.0,1751.0,124523.68596711251,P0003,20231004161510,2,T1,8.6.0
9.0,0.6572706678647166,80.0,1260.0,43256.98402010047,P0003,20231004161510,2,T1,8.6.0
10.0,0.33396639212559454,117.0,777.0,15255.825630252108,P0003,20231004161510,2,T1,8.6.0
11.0,0.18273226615470073,65.0,601.0,17724.791168394015,P0003,20231004161510,2,T1,8.6.0
12.0,0.1344640193556891,43.0,499.0,7720.64237137095,P0003,20231004161510,2,T1,8.6.0
13.0,0.11033784447739359,27.0,410.0,6622.488152198681,P0003,20231004161510,2,T1,8.6.0
14.0,0.13374418083676554,27.0,664.0,20330.865798675008,P0003,20231004161510,2,T1,8.6.0
1.0,2.1112453556061044,1931.0,3161.0,57522.82466063312,P0003,20231004161510,2,T2,8.6.0
2.0,2.1666197361196047,2240.0,3120.0,44598.36338225063,P0003,20231004161510,2,T2,8.6.0
3.0,1.93800629366086,1905.0,2779.0,33401.4248977211,P0003,20231004161510,2,T2,8.6.0
4.0,1.7944614590090884,1776.0,2753.0,43289.1941923771,P0003,20231004161510,2,T2,8.6.0
5.0,1.7045378319268643,1627.0,2507.0,50339.93898305045,P0003,20231004161510,2,T2,8.6.0
6.0,1.5385421184042323,1486.0,2280.0,47926.413114753865,P0003,20231004161510,2,T2,8.6.0
7.0,1.1621814513261777,1159.0,1700.0,17983.041776837872,P0003,20231004161510,2,T2,8.6.0
8.0,0.7332971753551443,678.0,1266.0,13170.146697837474,P0003,20231004161510,2,T2,8.6.0
